Company,Symbol,Weight,MarketCap
Adidas,ADS.DE,0.02,32.065245184
Airbus,AIR.DE,0.06,100.163657728
Allianz,ALV.DE,0.071,84.032495616
BASF,BAS.DE,0.035,37.792342016
Bayer,BAYN.DE,0.048,49.671360512
Beiersdorf,BEI.DE,0.009,27.43375872
BMW,BMW.DE,0.025,71.426760704
Brenntag,BNR.DE,0.009,11.107718144
Commerzbank,CBK.DE,0.008,12.217391104
Continental,CON.DE,0.006,13.416402944
Covestro,1COV.DE,0.006,9.303653376
Daimler Truck,DTG.DE,0.011,25.851723776
Deutsche Bank,DBK.DE,0.016,18.6984448
Deutsche Börse,DB1.DE,0.027,30.7487232
Deutsche Post,DPW.DE,0.034,52.175159296
Deutsche Telekom,DTE.DE,0.065,97.236180992
E.ON,EOAN.DE,0.019,29.823592448
Fresenius,FRE.DE,0.008,14.317484032
Hannover Re,HNR1.DE,0.008,22.949609472
Heidelberg Materials,HEI.DE,0.007,13.554340864
Henkel,HEN3.DE,0.009,28.022208512
Infineon Technologies,IFX.DE,0.039,47.633956864
Mercedes-Benz Group,MBG.DE,0.048,77.07127808
Merck,MRK.DE,0.018,67.238412288
MTU Aero Engines,MTX.DE,0.01,12.516179968
Munich Re,MUV2.DE,0.036,45.449723904
Porsche,P911.DE,0.011,
Porsche SE,PAH3.DE,0.006,17.613840384
Qiagen,QIA.DE,0.008,9.735023616
Rheinmetall,RHM.DE,0.0,11.097038848
RWE,RWE.DE,0.022,30.080929792
SAP,SAP.DE,0.101,144.396091392
Sartorius,SRT3.DE,0.008,19.516614656
Siemens,SIE.DE,0.09,123.732271104
Siemens Energy,ENR.DE,0.007,12.659211264
Siemens Healthineers,SHL.DE,0.012,58.62144
Symrise,SY1.DE,0.011,13.0491136
Volkswagen Group,VOW3.DE,0.024,69.919875072
Vonovia,VNA.DE,0.011,14.901843968
Zalando,ZAL.DE,0.007,6.91978496
