SalePrice,LotArea,Neighborhood,BldgType,OverallQual,OverallCond,YearBuilt,CentralAir,GrLivArea,FullBath,BedroomAbvGr,Fireplaces,GarageType,YrSold
208500,8450,CollgCr,1Fam,7,5,2003,Y,1710,2,3,0,Attchd,2008
181500,9600,Veenker,1Fam,6,8,1976,Y,1262,2,3,1,Attchd,2007
223500,11250,CollgCr,1Fam,7,5,2001,Y,1786,2,3,1,Attchd,2008
140000,9550,Crawfor,1Fam,7,5,1915,Y,1717,1,3,1,Detchd,2006
250000,14260,NoRidge,1Fam,8,5,2000,Y,2198,2,4,1,Attchd,2008
143000,14115,Mitchel,1Fam,5,5,1993,Y,1362,1,1,0,Attchd,2009
307000,10084,Somerst,1Fam,8,5,2004,Y,1694,2,3,1,Attchd,2007
200000,10382,NWAmes,1Fam,7,6,1973,Y,2090,2,3,2,Attchd,2009
129900,6120,OldTown,1Fam,7,5,1931,Y,1774,2,2,2,Detchd,2008
118000,7420,BrkSide,2fmCon,5,6,1939,Y,1077,1,2,2,Attchd,2008
129500,11200,Sawyer,1Fam,5,5,1965,Y,1040,1,3,0,Detchd,2008
345000,11924,NridgHt,1Fam,9,5,2005,Y,2324,3,4,2,BuiltIn,2006
144000,12968,Sawyer,1Fam,5,6,1962,Y,912,1,2,0,Detchd,2008
279500,10652,CollgCr,1Fam,7,5,2006,Y,1494,2,3,1,Attchd,2007
157000,10920,NAmes,1Fam,6,5,1960,Y,1253,1,2,1,Attchd,2008
132000,6120,BrkSide,1Fam,7,8,1929,Y,854,1,2,0,Detchd,2007
149000,11241,NAmes,1Fam,6,7,1970,Y,1004,1,2,1,Attchd,2010
90000,10791,Sawyer,Duplex,4,5,1967,Y,1296,2,2,0,CarPort,2006
159000,13695,SawyerW,1Fam,5,5,2004,Y,1114,1,3,0,Detchd,2008
139000,7560,NAmes,1Fam,5,6,1958,Y,1339,1,3,0,Attchd,2009
325300,14215,NridgHt,1Fam,8,5,2005,Y,2376,3,4,1,BuiltIn,2006
139400,7449,IDOTRR,1Fam,7,7,1930,Y,1108,1,3,1,Attchd,2007
230000,9742,CollgCr,1Fam,8,5,2002,Y,1795,2,3,1,Attchd,2008
129900,4224,MeadowV,TwnhsE,5,7,1976,Y,1060,1,3,1,Attchd,2007
154000,8246,Sawyer,1Fam,5,8,1968,Y,1060,1,3,1,Attchd,2010
256300,14230,NridgHt,1Fam,8,5,2007,Y,1600,2,3,1,Attchd,2009
134800,7200,NAmes,1Fam,5,7,1951,Y,900,1,3,0,Detchd,2010
306000,11478,NridgHt,1Fam,8,5,2007,Y,1704,2,3,1,Attchd,2010
207500,16321,NAmes,1Fam,5,6,1957,Y,1600,1,2,2,Attchd,2006
68500,6324,BrkSide,1Fam,4,6,1927,N,520,1,1,0,Detchd,2008
40000,8500,IDOTRR,1Fam,4,4,1920,N,1317,1,3,0,Detchd,2008
149350,8544,Sawyer,1Fam,5,6,1966,Y,1228,1,3,0,Attchd,2008
179900,11049,CollgCr,1Fam,8,5,2007,Y,1234,2,3,0,Attchd,2008
165500,10552,NAmes,1Fam,5,5,1959,Y,1700,1,4,1,Attchd,2010
277500,7313,NridgHt,TwnhsE,9,5,2005,Y,1561,2,2,1,Attchd,2007
309000,13418,NridgHt,1Fam,8,5,2004,Y,2452,3,4,1,BuiltIn,2006
